Template,In layout,Enabled,Loc. X,Loc. Y,Loc. Z,X focus,Y focus,Cant vect.,Cant vect.,Cant vect.,Aim pt. X,Aim pt. Y,Aim pt. Z
,,,[m],[m],[m],[m],[m],<i>,<j>,<k>,[m],[m],[m]
0,1,1,251.14,446.24,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,220.97,536.72,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-187.12,454.49,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,232,127.12,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,203.19,80.19,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-250.58,471.84,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,111.59,646.68,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-216.39,564.34,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-182,603.47,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-144.72,185.67,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,188.59,574.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-248.92,497.67,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,152.34,611.64,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,275.1,310.99,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-262.57,201.29,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,227.26,483.51,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,275.45,333.91,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-111.59,646.68,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,271.75,409.55,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,275.38,358.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,238.63,164.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-235.58,145.15,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,273.94,383.08,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,79.89,651.36,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,224.34,509.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-227.22,109.85,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
